61.01;;Sobretudos, japonas, gabões, capas, anoraques, casacos (blusões*) e semelhantes, de malha, de uso masculino, exceto os artigos da posição 61.03.;0
6101.20.00;;- De algodão ;0
6101.30.00;;- De fibras sintéticas ou artificiais ;0
6101.9;;- De outras matérias têxteis;0
6101.90.10;;De lã ou de pelos finos ;0
6101.90.90;;Outros ;0
61.02;;Mantôs (Casacos compridos*), capas, anoraques, casacos (blusões*) e semelhantes, de malha, de uso feminino, exceto os artigos da posição 61.04.;0
6102.10.00;;- De lã ou de pelos finos ;0
6102.20.00;;- De algodão ;0
6102.30.00;;- De fibras sintéticas ou artificiais ;0
6102.90.00;;- De outras matérias têxteis ;0
61.03;;Ternos (Fatos*), conjuntos, paletós (casacos*), calças, jardineiras, bermudas e shorts (calções) (exceto de banho), de malha, de uso masculino.;0
6103.1;;- Ternos (Fatos*);0
6103.10.10;;De lã ou de pelos finos ;0
6103.10.20;;De fibras sintéticas ;0
6103.10.90;;De outras matérias têxteis ;0
6103.2;;- Conjuntos:;0
6103.22.00;;-- De algodão ;0
6103.23.00;;-- De fibras sintéticas ;0
6103.29;;-- De outras matérias têxteis;0
6103.29.10;;De lã ou de pelos finos ;0
6103.29.90;;Outros ;0
6103.3;;- Paletós (Casacos*):;0
6103.31.00;;-- De lã ou de pelos finos ;0
6103.32.00;;-- De algodão ;0
6103.33.00;;-- De fibras sintéticas ;0
6103.39.00;;-- De outras matérias têxteis ;0
6103.4;;- Calças, jardineiras, bermudas e shorts (calções):;0
6103.41.00;;-- De lã ou de pelos finos ;0
6103.42.00;;-- De algodão ;0
6103.43.00;;-- De fibras sintéticas ;0
6103.49.00;;-- De outras matérias têxteis ;0
61.04;;Tailleurs (Fatos de saia-casaco*), conjuntos, blazers (casacos*), vestidos, saias, saias-calças, calças, jardineiras, bermudas e shorts (calções) (exceto de banho), de malha, de uso feminino.;0
6104.1;;- Tailleurs (Fatos de saia-casaco*):;0
6104.13.00;;-- De fibras sintéticas ;0
6104.19;;-- De outras matérias têxteis;0
6104.19.10;;De lã ou de pelos finos ;0
6104.19.20;;De algodão ;0
6104.19.90;;De outras matérias têxteis ;0
6104.2;;- Conjuntos:;0
6104.22.00;;-- De algodão ;0
6104.23.00;;-- De fibras sintéticas ;0
6104.29;;-- De outras matérias têxteis;0
6104.29.10;;De lã ou de pelos finos ;0
6104.29.90;;Outros ;0
6104.3;;- Blazers (Casacos*):;0
6104.31.00;;-- De lã ou de pelos finos ;0
6104.32.00;;-- De algodão ;0
6104.33.00;;-- De fibras sintéticas ;0
6104.39.00;;-- De outras matérias têxteis ;0
6104.4;;- Vestidos:;0
6104.41.00;;-- De lã ou de pelos finos ;0
6104.42.00;;-- De algodão ;0
6104.43.00;;-- De fibras sintéticas ;0
6104.44.00;;-- De fibras artificiais ;0
6104.49.00;;-- De outras matérias têxteis ;0
6104.5;;- Saias e saias-calças:;0
6104.51.00;;-- De lã ou de pelos finos ;0
6104.52.00;;-- De algodão ;0
6104.53.00;;-- De fibras sintéticas ;0
6104.59.00;;-- De outras matérias têxteis ;0
6104.6;;- Calças, jardineiras, bermudas e shorts (calções):;0
6104.61.00;;-- De lã ou de pelos finos ;0
6104.62.00;;-- De algodão ;0
6104.63.00;;-- De fibras sintéticas ;0
6104.69.00;;-- De outras matérias têxteis ;0
61.05;;Camisas de malha, de uso masculino.;0
6105.10.00;;- De algodão ;0
6105.20.00;;- De fibras sintéticas ou artificiais ;0
6105.90.00;;- De outras matérias têxteis ;0
61.06;;Camisas (Camiseiros*), blusas, blusas chemisiers (blusas-camiseiros*), de malha, de uso feminino.;0
6106.10.00;;- De algodão ;0
6106.20.00;;- De fibras sintéticas ou artificiais ;0
6106.90.00;;- De outras matérias têxteis ;0
61.07;;Cuecas, ceroulas, camisolões (camisas de noite*), pijamas, roupões de banho, robes e semelhantes, de malha, de uso masculino.;0
6107.1;;- Cuecas e ceroulas:;0
6107.11.00;;-- De algodão ;0
6107.12.00;;-- De fibras sintéticas ou artificiais ;0
6107.19.00;;-- De outras matérias têxteis ;0
6107.2;;- Camisolões (Camisas de noite*) e pijamas:;0
6107.21.00;;-- De algodão ;0
6107.22.00;;-- De fibras sintéticas ou artificiais ;0
6107.29.00;;-- De outras matérias têxteis ;0
6107.9;;- Outros:;0
6107.91.00;;-- De algodão ;0
6107.99;;-- De outras matérias têxteis;0
6107.99.10;;De fibras sintéticas ou artificiais ;0
6107.99.90;;Outros ;0
61.08;;Combinações, anáguas (saiotes), calcinhas, camisolas (camisas de noite*), pijamas, déshabillés, roupões de banho, penhoares (robes de quarto*) e semelhantes, de malha, de uso feminino.;0
6108.1;;- Combinações e anáguas (saiotes):;0
6108.11.00;;-- De fibras sintéticas ou artificiais ;0
6108.19.00;;-- De outras matérias têxteis ;0
6108.2;;- Calcinhas:;0
6108.21.00;;-- De algodão ;0
6108.22.00;;-- De fibras sintéticas ou artificiais ;0
